GENDER,Car_Owner,Propert_Owner,Annual_income,Type_Income,EDUCATION,Marital_status,Housing_type,Employed_days,Family_Members,target
M,Y,Y,180000.0,Pensioner,Higher education,Married,House / apartment,365243,2,Rejected
F,Y,N,315000.0,Commercial associate,Higher education,Married,House / apartment,-586,2,Rejected
F,Y,N,315000.0,Commercial associate,Higher education,Married,House / apartment,-586,2,Rejected
F,Y,N,186372.5036820885,Commercial associate,Higher education,Married,House / apartment,-586,2,Rejected
F,Y,N,315000.0,Commercial associate,Higher education,Married,House / apartment,-586,2,Rejected
F,Y,N,186372.5036820885,Commercial associate,Higher education,Married,House / apartment,-586,2,Rejected
F,N,N,315000.0,Pensioner,Secondary / secondary special,Married,House / apartment,365243,2,Rejected
M,Y,Y,180000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-678,3,Rejected
M,Y,Y,450000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-678,3,Rejected
M,Y,Y,450000.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-678,1,Rejected
F,Y,Y,450000.0,Working,Secondary / secondary special,Married,House / apartment,-1002,2,Rejected
F,Y,Y,90000.0,Working,Secondary / secondary special,Married,House / apartment,-1002,2,Rejected
F,Y,Y,189620.55230667387,Working,Secondary / secondary special,Married,House / apartment,-1002,2,Rejected
M,N,N,90000.0,Pensioner,Higher education,Married,With parents,-913,3,Rejected
M,N,Y,472500.0,Working,Secondary / secondary special,Married,House / apartment,-248,2,Rejected
M,N,Y,270000.0,Working,Secondary / secondary special,Single / not married,House / apartment,-248,2,Rejected
F,N,Y,270000.0,Commercial associate,Higher education,Single / not married,House / apartment,-2470,1,Rejected
F,N,Y,126000.0,Commercial associate,Higher education,Single / not married,House / apartment,-2470,1,Rejected
M,N,Y,126000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-1644,2,Rejected
M,N,N,90000.0,Working,Higher education,Single / not married,House / apartment,-4327,1,Rejected
M,Y,Y,202500.0,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,-1674,2,Rejected
M,N,Y,202500.0,Commercial associate,Higher education,Civil marriage,House / apartment,-1086,2,Rejected
F,N,Y,157500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-925,4,Rejected
F,N,Y,112500.0,Working,Higher education,Married,House / apartment,-854,2,Rejected
F,Y,Y,180000.0,Commercial associate,Higher education,Married,House / apartment,-185,2,Rejected
F,N,Y,112500.0,Pensioner,Secondary / secondary special,Married,House / apartment,365243,2,Rejected
M,N,N,186372.5036820885,Commercial associate,Higher education,Married,House / apartment,-691,2,Rejected
F,N,Y,189620.55230667387,Working,Lower secondary,Single / not married,Rented apartment,-4770,2,Rejected
F,N,N,90000.0,Working,Higher education,Single / not married,House / apartment,-2394,1,Rejected
F,Y,N,112500.0,Working,Secondary / secondary special,Married,House / apartment,-384,3,Rejected
M,N,Y,135000.0,Working,Secondary / secondary special,Married,House / apartment,-3647,2,Rejected
M,Y,N,135000.0,State servant,Secondary / secondary special,Single / not married,House / apartment,-1546,2,Rejected
M,Y,Y,180000.0,Working,Higher education,Married,House / apartment,-808,2,Rejected
F,Y,Y,112500.0,Pensioner,Secondary / secondary special,Married,House / apartment,365243,2,Rejected
M,Y,Y,292500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-1285,2,Rejected
M,Y,Y,76500.0,Commercial associate,Higher education,Separated,House / apartment,-855,1,Rejected
F,Y,N,215100.0,State servant,Higher education,Married,House / apartment,-7369,4,Rejected
F,N,Y,450000.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,365243,1,Rejected
